true_label,predicted_label,features
/,N,"[0.2490740740740741, 0.039696205759677805, 0.2, 0.2972222222222222, 3.0, 360.0000000000001, 2.1508235141256553, 10.397670059495054, 8.261128185626207, 0.658974594098744, 0.4744119154796834]"
/,N,"[0.25555555555555554, 0.031994726931798154, 0.21388888888888888, 0.2916666666666667, 3.0, 360.00000000000006, 1.530690297293312, 5.5072369978195415, 7.445441265406391, 0.7047886694485505, 0.5464078846898688]"
/,N,"[0.26018518518518513, 0.03304920055106434, 0.2222222222222222, 0.30277777777777776, 3.0, 359.99999999999994, 1.1497246801964718, 5.7027776614962224, 7.748229440571954, 0.6954502905237508, 0.5546217516766017]"
/,N,"[0.2601851851851852, 0.033049200551064355, 0.22777777777777777, 0.3055555555555556, 3.0, 360.00000000000017, 2.1327773624282345, 10.224018476913956, 8.477415499811668, 0.6450304185414116, 0.44312390539150515]"
/,N,"[0.26296296296296295, 0.03857901232592529, 0.22777777777777777, 0.31666666666666665, 3.0, 359.99999999999994, 1.222654419288483, 5.949680496251151, 7.875401093463351, 0.71079240491875, 0.5558601797676395]"
/,N,"[0.25277777777777777, 0.040125830888926774, 0.20833333333333334, 0.3055555555555556, 3.0, 360.0, 2.1398121492831104, 11.106235588745424, 8.807584213529312, 0.6186699262546139, 0.3955443279489327]"
/,N,"[0.262962962962963, 0.035306807342477084, 0.2222222222222222, 0.30833333333333335, 3.0, 360.0, 1.2463922495467354, 5.479038324051935, 7.7653309635068775, 0.7080889960708754, 0.6109579781199845]"
/,N,"[0.25555555555555554, 0.032945271990105926, 0.21388888888888888, 0.29444444444444445, 3.0, 360.00000000000017, 1.7265052991068237, 6.428420720630843, 7.463620100140948, 0.7064603520370497, 0.5300417738669764]"
/,N,"[0.25277777777777777, 0.037336750284548074, 0.225, 0.3055555555555556, 3.0, 359.99999999999994, 1.8281664585027988, 6.860290100641544, 7.442029830576252, 0.7125589489133066, 0.5498322576247479]"
/,N,"[0.25555555555555554, 0.04686685457349542, 0.20277777777777778, 0.31666666666666665, 3.0, 360.0, 1.09463621096088, 4.267148671423898, 6.961564644965888, 0.6771065776650933, 0.4096792992106596]"
/,N,"[0.2490740740740741, 0.047213143644377634, 0.20277777777777778, 0.3138888888888889, 3.0, 359.99999999999994, 0.9811985636514986, 2.835334404055547, 6.453529402354448, 0.6925834541183791, 0.48078215332172286]"
/,N,"[0.2611111111111111, 0.02948459875572343, 0.2388888888888889, 0.30277777777777776, 3.0, 360.0000000000001, 2.03914744549358, 11.539149089769545, 8.880625973472187, 0.592136999564674, 0.3826237247931446]"
/,N,"[0.2490740740740741, 0.03857901232592529, 0.21388888888888888, 0.30277777777777776, 3.0, 360.00000000000006, 1.267095512076681, 4.310834026523916, 6.935573316789503, 0.7305422501565625, 0.5363037795804477]"
/,N,"[0.2425925925925926, 0.03777051491550212, 0.20555555555555555, 0.29444444444444445, 3.0, 360.00000000000006, 1.5957050751194453, 6.514988714953404, 7.573839467908243, 0.7105287203793639, 0.5631858172564006]"
f,N,"[0.25092592592592594, 0.035306807342477084, 0.20555555555555555, 0.2916666666666667, 3.0, 359.99999999999983, 1.5099438067316184, 4.92300373684787, 6.273121835570584, 0.6973123912255796, 0.5679030553253928]"
f,N,"[0.23680555555555557, 0.024796626487996, 0.20833333333333334, 0.26666666666666666, 4.0, 359.9999999999999, 1.7173424823386543, 5.958077392039046, 6.557454184272326, 0.7019890720426554, 0.567916759460608]"
+,N,"[0.262037037037037, 0.042086363619864856, 0.20833333333333334, 0.3111111111111111, 3.0, 359.99999999999994, 1.0589993900192656, 3.272777288968504, 6.271746097529569, 0.7233784037428171, 0.5386050176376705]"
f,N,"[0.26481481481481484, 0.042147432136077946, 0.2222222222222222, 0.32222222222222224, 3.0, 360.0000000000001, 1.1195109635511864, 5.283204766426319, 6.982444746798565, 0.6906402492639393, 0.5759934623769023]"
f,N,"[0.2546296296296296, 0.03824421560752479, 0.2222222222222222, 0.30833333333333335, 3.0, 360.0000000000001, 0.30804943124321776, 1.8913470741110672, 6.192985051500725, 0.7272725946275829, 0.532843825900528]"
f,N,"[0.22986111111111113, 0.029421833561548417, 0.20833333333333334, 0.28055555555555556, 4.0, 359.99999999999994, 0.72462688261082, 2.2213621122223017, 5.877921954295461, 0.7092187426466889, 0.5340494205503963]"
f,N,"[0.23819444444444446, 0.028556784992989016, 0.20833333333333334, 0.2777777777777778, 4.0, 360.00000000000006, 1.4446890149096026, 5.111623518201199, 6.414725935790763, 0.6854323839403427, 0.5295118173797664]"
f,N,"[0.23402777777777778, 0.02915839829891251, 0.2, 0.26944444444444443, 4.0, 360.0, 2.1058137553082954, 9.19923265482975, 6.981116444742239, 0.6264683397207128, 0.42394458199576257]"
+,N,"[0.262037037037037, 0.024251483062423702, 0.2361111111111111, 0.29444444444444445, 3.0, 360.0, 1.2834163186561216, 4.302081721874337, 6.2794351865704545, 0.6948101900175998, 0.46039783669455114]"
f,N,"[0.24259259259259258, 0.026579074248902452, 0.20555555555555555, 0.26666666666666666, 3.0, 360.0, 1.8799585875762532, 8.111040762002288, 6.93845136349395, 0.6146927561617123, 0.35977427683630175]"
f,N,"[0.2361111111111111, 0.02613178850309274, 0.2, 0.26944444444444443, 4.0, 359.9999999999999, 1.7295150074269972, 6.707834561822777, 6.575083923345268, 0.6610483933952932, 0.46985274554020806]"
+,N,"[0.4, 0.024999999999999994, 0.375, 0.425, 2.0, 359.9999999999999, 0.7919314772564859, 3.5745676794884584, 7.013929092888896, 0.6851591127702829, 0.45358676089643346]"
/,N,"[0.2847222222222222, 0.03194444444444444, 0.25277777777777777, 0.31666666666666665, 2.0, 360.0, 0.9463851538596773, 3.7686250050339254, 6.888187576271976, 0.7004111114563183, 0.4281909644125611]"
/,N,"[0.29305555555555557, 0.04861111111111112, 0.24444444444444444, 0.3416666666666667, 2.0, 360.0, 1.111668378091635, 5.2372672499664965, 7.562213898616386, 0.7186211640038871, 0.5132020593431694]"
/,N,"[0.2648148148148148, 0.04134650659586315, 0.21944444444444444, 0.3194444444444444, 3.0, 360.0, 1.4341057022008241, 5.8413786592439205, 7.115407228533888, 0.6889860326731085, 0.3847001723394711]"
/,N,"[0.2546296296296296, 0.04605492635350328, 0.21666666666666667, 0.3194444444444444, 3.0, 360.00000000000006, 1.3601350196393875, 5.057299399050043, 7.00058756390106, 0.6840696684968113, 0.4628690608590945]"
/,R,"[0.28703703703703703, 0.07046776885348315, 0.21666666666666667, 0.38333333333333336, 3.0, 359.9999999999999, 1.2034342483669986, 4.444856183296798, 7.1325918563158535, 0.7147387352211021, 0.5690905465264477]"
/,N,"[0.25092592592592594, 0.021073716068038966, 0.23333333333333334, 0.28055555555555556, 3.0, 360.0, 1.4400072823751062, 5.595030140719887, 7.605916516975689, 0.695969371872916, 0.5730162550434714]"
/,N,"[0.2490740740740741, 0.036453740157462076, 0.21666666666666667, 0.3, 3.0, 360.0, 1.3292400104966373, 6.136284709209102, 7.848683808543797, 0.7012272457767365, 0.5864459134601698]"
/,N,"[0.24814814814814815, 0.0372907973437079, 0.21388888888888888, 0.3, 3.0, 360.0, 1.8578141378176196, 9.262327798200419, 8.488061591766025, 0.6604148761081533, 0.42766560877933535]"
f,N,"[0.2340277777777778, 0.03454817489953542, 0.2, 0.2916666666666667, 4.0, 360.0, 1.0969364896347629, 3.595741499654034, 6.391770827014383, 0.6822237015523415, 0.4472035980702813]"
/,N,"[0.2944444444444444, 0.022222222222222227, 0.2722222222222222, 0.31666666666666665, 2.0, 359.99999999999994, 1.3842312172972497, 5.8892396271931755, 7.447102911175378, 0.6738315123324417, 0.4826891449681689]"
/,R,"[0.2787037037037037, 0.062126800730430566, 0.2111111111111111, 0.3611111111111111, 3.0, 359.9999999999999, 1.1729413824197927, 4.005166518271762, 6.807219508858389, 0.7408292677706083, 0.5903898483942054]"
/,N,"[0.28194444444444444, 0.026388888888888906, 0.25555555555555554, 0.30833333333333335, 2.0, 360.0000000000001, 1.3101028109017738, 5.565933679497155, 7.322519617420278, 0.6731347101408887, 0.45346562243396893]"
/,N,"[0.26018518518518513, 0.05444885343699687, 0.20277777777777778, 0.3333333333333333, 3.0, 359.99999999999994, 1.4257066668740175, 4.499079771868694, 6.73690193931988, 0.7319724298750346, 0.5425946955214329]"
/,N,"[0.2648148148148148, 0.03877850294698503, 0.23333333333333334, 0.3194444444444444, 3.0, 360.0, 1.3355255457698618, 6.098757471418239, 7.473421153653479, 0.6827313573596555, 0.3979586561632631]"
/,N,"[0.26666666666666666, 0.044154144509505056, 0.225, 0.3277777777777778, 3.0, 360.0, 1.3753814392909753, 5.1875307186068245, 7.133799136180736, 0.7419648166494138, 0.5712300257536809]"
/,N,"[0.29166666666666663, 0.05555555555555555, 0.2361111111111111, 0.3472222222222222, 2.0, 360.0, 1.24833976374282, 5.373340610968077, 7.308209456296074, 0.7077977373877108, 0.4507124394014862]"
/,N,"[0.2657407407407408, 0.03995453520442856, 0.2361111111111111, 0.32222222222222224, 3.0, 360.0, 1.1149146186986292, 4.344385164348778, 6.835379764110983, 0.6813551386043826, 0.4463516769752214]"
/,N,"[0.26944444444444443, 0.04519049756263861, 0.2361111111111111, 0.3333333333333333, 3.0, 359.99999999999994, 1.4418520720891885, 5.590427858046407, 7.143507227050276, 0.6975651416602674, 0.5023504375026961]"
/,N,"[0.2657407407407408, 0.0443478889438076, 0.21388888888888888, 0.32222222222222224, 3.0, 360.0, 1.534124901174207, 6.272865356069538, 7.555110554740137, 0.69323773527736, 0.5181176874351547]"
/,R,"[0.27777777777777773, 0.07518837796541405, 0.21388888888888888, 0.38333333333333336, 3.0, 359.99999999999994, 1.20682164510438, 4.666026766967628, 7.045682441115657, 0.7387486913444693, 0.5726701228839546]"
/,N,"[0.25555555555555554, 0.04327156090943675, 0.2222222222222222, 0.31666666666666665, 3.0, 360.00000000000006, 1.6621000693639179, 6.282752452661738, 7.570260780520512, 0.714738730764312, 0.5504695837137592]"
/,N,"[0.2722222222222222, 0.0501540835701883, 0.225, 0.3416666666666667, 3.0, 360.0, 1.1948055840060319, 5.195575509011936, 7.411891039622725, 0.6925823569496792, 0.43303685125318214]"
/,N,"[0.2657407407407408, 0.04257245900952834, 0.21944444444444444, 0.32222222222222224, 3.0, 359.99999999999994, 1.401908628276329, 5.351501892529781, 7.2170965862427074, 0.7018504891458862, 0.5050694391798545]"
/,N,"[0.2791666666666667, 0.048611111111111105, 0.23055555555555557, 0.3277777777777778, 2.0, 359.99999999999994, 1.3676436284161155, 5.850168520057725, 7.647726199581625, 0.7045558115587228, 0.46838602023889675]"
/,N,"[0.29166666666666663, 0.03888888888888889, 0.25277777777777777, 0.33055555555555555, 2.0, 360.0, 0.953154417566365, 3.663265550312895, 7.095741217881754, 0.6912255148564324, 0.45776644160020874]"
/,N,"[0.2675925925925926, 0.045943097148352874, 0.2222222222222222, 0.33055555555555555, 3.0, 359.99999999999994, 1.360264953123393, 6.079943577177319, 7.748384204272979, 0.692265620307999, 0.5205417351325945]"
/,N,"[0.26666666666666666, 0.049897013278916595, 0.20555555555555555, 0.3277777777777778, 3.0, 359.99999999999994, 1.2498294491247974, 4.735736330961601, 6.9500402573946864, 0.7269667720950076, 0.45259998084690267]"
/,N,"[0.2564814814814815, 0.03666479606152468, 0.20833333333333334, 0.2972222222222222, 3.0, 359.99999999999983, 1.1639944880921993, 5.802338083699263, 7.854246918274637, 0.6583044182663872, 0.44493439696641146]"
/,N,"[0.26666666666666666, 0.04374448818895451, 0.22777777777777777, 0.3277777777777778, 3.0, 360.00000000000006, 1.4247900787022514, 6.004038850044676, 7.153369264935316, 0.6908144478342085, 0.41408367071006]"
/,N,"[0.2611111111111111, 0.03564514176837066, 0.23055555555555557, 0.3111111111111111, 3.0, 360.0, 2.023470379033319, 10.705079915260226, 8.755291110121865, 0.6355763209872243, 0.45757667037996963]"
/,N,"[0.2875, 0.037500000000000006, 0.25, 0.325, 2.0, 360.0, 1.5001560018152749, 6.602556640796092, 7.740921645843027, 0.7004276529573915, 0.5195922394854755]"
/,N,"[0.2537037037037037, 0.048661790161003395, 0.21388888888888888, 0.32222222222222224, 3.0, 359.99999999999994, 0.9208353871688246, 4.385867259261735, 7.5765276852219685, 0.711778834331371, 0.5468463384307138]"
/,N,"[0.2657407407407407, 0.04543645980142701, 0.20833333333333334, 0.3194444444444444, 3.0, 359.99999999999994, 1.6549722988063906, 7.179413847421078, 7.460052720676466, 0.6841817283045798, 0.43389053228240027]"
/,N,"[0.2601851851851852, 0.045038468544501144, 0.2, 0.30833333333333335, 3.0, 360.0000000000001, 1.403428603137572, 6.347312252956195, 7.9301596938056935, 0.7022665355876261, 0.5592018400740227]"
/,N,"[0.2657407407407408, 0.04257245900952834, 0.21944444444444444, 0.32222222222222224, 3.0, 359.99999999999994, 1.004738931203092, 4.206344138736249, 7.127811945627511, 0.6912622788110298, 0.4608942731059787]"
/,N,"[0.2546296296296296, 0.040338927612577714, 0.21944444444444444, 0.3111111111111111, 3.0, 360.0, 1.3952115272398395, 6.791682775972053, 8.103117428118459, 0.6987317213615437, 0.5676396700796345]"
/,N,"[0.26481481481481484, 0.040656478518703985, 0.23333333333333334, 0.32222222222222224, 3.0, 360.0, 0.9916503169819859, 3.3782776119434264, 6.699874754473683, 0.7003385237361421, 0.4746093107936964]"
/,N,"[0.2611111111111111, 0.037883838047182934, 0.21944444444444444, 0.3111111111111111, 3.0, 360.0, 1.2920378622194986, 5.421073059769073, 7.2887414919083975, 0.6958003864138782, 0.46964860681646875]"
/,N,"[0.25925925925925924, 0.045943097148352895, 0.21388888888888888, 0.32222222222222224, 3.0, 360.0, 1.3192640639208464, 5.6226562425515, 7.56539324578481, 0.6825187843139403, 0.4738747781763807]"
/,N,"[0.26296296296296295, 0.03810947338380867, 0.2222222222222222, 0.3138888888888889, 3.0, 360.0000000000001, 1.1984454505042559, 5.98687026615181, 7.961194816980628, 0.7053069952113853, 0.5656253207298587]"
f,N,"[0.26944444444444443, 0.05931710140017397, 0.21944444444444444, 0.3527777777777778, 3.0, 359.99999999999994, 0.0810236611062894, 1.959948892186917, 6.220919494642546, 0.6790931127118889, 0.41437926158619165]"
/,N,"[0.262037037037037, 0.03471913566528273, 0.2361111111111111, 0.3111111111111111, 3.0, 360.0, 1.6066971452925618, 7.804594607675224, 7.948844409824399, 0.6843418193980509, 0.4745447629407772]"
/,N,"[0.25277777777777777, 0.041635791029476135, 0.21666666666666667, 0.3111111111111111, 3.0, 359.99999999999994, 1.4899494845671943, 6.468023153549181, 7.468603583085887, 0.693777250103006, 0.45579877267222635]"
f,N,"[0.28425925925925927, 0.06480158595156553, 0.22777777777777777, 0.375, 3.0, 360.00000000000006, 1.2215371363535439, 5.189034918359113, 7.224271998810407, 0.6757835934765165, 0.39747109049076457]"
f,N,"[0.2490740740740741, 0.03687464398470348, 0.21388888888888888, 0.3, 3.0, 360.0000000000001, 1.1982303560026712, 4.724134287557816, 6.488286772031414, 0.6746312002266063, 0.2826829416267379]"
/,N,"[0.2611111111111111, 0.03600411499115478, 0.22777777777777777, 0.3111111111111111, 3.0, 360.0, 1.2341096420077402, 5.652586051480972, 7.578418523950418, 0.7103083540769078, 0.5312577581473765]"
/,N,"[0.26481481481481484, 0.050171174756089135, 0.2, 0.32222222222222224, 3.0, 360.00000000000006, 1.1009938542437683, 5.269342056902053, 7.497760677215979, 0.7215827924238507, 0.5485812895683078]"
/,N,"[0.2847222222222222, 0.05416666666666667, 0.23055555555555557, 0.3388888888888889, 2.0, 359.99999999999994, 1.0897933926676262, 3.939247691768183, 7.172981925614547, 0.7118795089350927, 0.5203208497844414]"
f,N,"[0.2490740740740741, 0.01702294102856504, 0.225, 0.2611111111111111, 3.0, 360.0, 2.4436299563114035, 10.426037567702222, 7.087581213978165, 0.6162880964314975, 0.3434263066983001]"
f,N,"[0.22916666666666669, 0.02903409022273178, 0.20277777777777778, 0.275, 4.0, 360.0, 1.2247249125911102, 4.3918817693999594, 6.339132417302957, 0.6741426830839262, 0.3450619675935386]"
/,N,"[0.25740740740740736, 0.0308765407417279, 0.22777777777777777, 0.3, 3.0, 360.0, 1.2062914030686753, 5.381136698293021, 7.459493087183597, 0.7236025002737708, 0.5633144285818885]"
~,N,"[0.2916666666666667, 0.06647348553999101, 0.22777777777777777, 0.38333333333333336, 3.0, 359.99999999999994, 3.69378062543528, 18.88160477009818, 8.574468298293505, 0.5876864152860813, 0.3801660789075746]"
~,N,"[0.22083333333333333, 0.02361111111111112, 0.20277777777777778, 0.2611111111111111, 4.0, 360.0, 2.3372737958578202, 8.777411413298445, 7.346553592357429, 0.555837550440676, 0.1820222529324609]"
A,N,"[0.3064814814814815, 0.10759083953438917, 0.20555555555555555, 0.45555555555555555, 3.0, 360.0, 3.2646533860901377, 17.480200737992494, 9.281204660180556, 0.5971544315605797, 0.46086928343587635]"
f,N,"[0.2722222222222222, 0.04461771778946948, 0.2222222222222222, 0.33055555555555555, 3.0, 360.0, 1.180809459044005, 3.877564683056213, 6.633030824758059, 0.6945151318043336, 0.4404356847069732]"
+,N,"[0.262037037037037, 0.046610047957974875, 0.20277777777777778, 0.31666666666666665, 3.0, 360.0, 0.9787903135181014, 2.0186016858266704, 6.358324595137849, 0.7651460763194239, 0.5783095566418115]"
Q,N,"[0.25555555555555554, 0.042004800823013916, 0.20555555555555555, 0.30833333333333335, 3.0, 360.0, 1.330940191593929, 3.995026099144283, 6.846654383560697, 0.7164949405701836, 0.537902441675975]"
Q,N,"[0.3597222222222222, 0.012500000000000011, 0.3472222222222222, 0.37222222222222223, 2.0, 359.99999999999994, 1.174511206841829, 3.1087168738088096, 6.044498132220129, 0.7053974523126286, 0.5177267107468408]"
+,N,"[0.2740740740740741, 0.03226157664848952, 0.24722222222222223, 0.3194444444444444, 3.0, 360.00000000000006, 1.3872558346376997, 6.391982965629683, 7.546779557716054, 0.6665698448583344, 0.5057079520945544]"
~,V,"[0.29583333333333334, 0.0625, 0.23333333333333334, 0.35833333333333334, 2.0, 360.0, -0.17869624077660132, -0.6061142707503175, 4.261485294196161, 0.8113783752141412, 0.696834283585263]"
f,N,"[0.287962962962963, 0.0871453227100181, 0.2222222222222222, 0.4111111111111111, 3.0, 360.0000000000001, 2.6969545451998234, 17.754650018404583, 9.659459885692447, 0.5576185905081805, 0.3239532172261146]"
f,N,"[0.2215277777777778, 0.016122481619783198, 0.20277777777777778, 0.24722222222222223, 4.0, 360.0, 2.183559191262749, 10.511255207856443, 8.521786468951504, 0.636916492660119, 0.46612125720476955]"
f,N,"[0.2722222222222222, 0.04427049291808119, 0.21944444444444444, 0.3277777777777778, 3.0, 359.99999999999994, 1.1718339718857027, 2.69466818905169, 6.192215144810312, 0.7865253480218657, 0.7144759802890697]"
Q,R,"[0.2898148148148148, 0.06070290149290285, 0.2222222222222222, 0.36944444444444446, 3.0, 360.0000000000001, 1.2513307507437847, 4.681588052424166, 6.667934202938814, 0.6936741412051155, 0.5079771787397949]"
~,N,"[0.30972222222222223, 0.05138888888888887, 0.25833333333333336, 0.3611111111111111, 2.0, 360.0, 1.3556054338555643, 4.858092638063028, 6.834438244298758, 0.6861203929338059, 0.4564334729246605]"
f,N,"[0.27777777777777773, 0.07300149386824824, 0.20555555555555555, 0.37777777777777777, 3.0, 359.9999999999999, 3.2876860116327653, 18.732273479802412, 8.938718584808859, 0.599156214362791, 0.4387000681292176]"
f,L,"[0.26944444444444443, 0.056655772373253165, 0.21388888888888888, 0.3472222222222222, 3.0, 360.00000000000006, 1.32734945946569, 4.804790658768204, 5.957812177800885, 0.6481836777369321, 0.37632180739955745]"
Q,N,"[0.33472222222222225, 0.037500000000000006, 0.2972222222222222, 0.37222222222222223, 2.0, 360.00000000000006, 1.4505891168019047, 3.9842976033500888, 6.522686013937051, 0.6976156640549058, 0.49629135961720294]"
Q,N,"[0.2236111111111111, 0.012187450538044615, 0.20277777777777778, 0.23333333333333334, 4.0, 360.00000000000006, 0.4077249980832967, 0.9359547352722619, 6.119761840001654, 0.77695902928794, 0.647103999495904]"
Q,N,"[0.262962962962963, 0.04423174412035625, 0.225, 0.325, 3.0, 360.0, 0.7978099007470304, 1.8704729520072823, 6.143886532578444, 0.7631953640464253, 0.6484138914068074]"
Q,N,"[0.375, 0.036111111111111094, 0.3388888888888889, 0.4111111111111111, 2.0, 360.00000000000006, 0.8998065070197846, 3.7383896481989884, 6.850193086674571, 0.7114792349457637, 0.5050216445622612]"
/,N,"[0.2518518518518518, 0.043410030258263115, 0.20833333333333334, 0.3111111111111111, 3.0, 360.0, 0.14121757866776485, 3.3048653326245194, 7.230023339389806, 0.7036796168784911, 0.5346161065786318]"
f,N,"[0.3666666666666667, 0.07222222222222222, 0.29444444444444445, 0.4388888888888889, 2.0, 359.99999999999994, 2.8784088228112976, 16.06958518143785, 9.139996793460249, 0.6146073840157923, 0.46346396318465166]"
+,N,"[0.25277777777777777, 0.047520842297616064, 0.20277777777777778, 0.31666666666666665, 3.0, 360.00000000000006, 0.795976562997962, 2.424733795994835, 6.1891991300790465, 0.7017492078696299, 0.5182090852075971]"
f,N,"[0.25, 0.04163579102947615, 0.21388888888888888, 0.30833333333333335, 3.0, 359.99999999999994, 2.347834422460598, 12.656494100100064, 8.586443941357127, 0.6513066807943091, 0.49940751815025247]"
f,N,"[0.23148148148148148, 0.03471913566528273, 0.20555555555555555, 0.28055555555555556, 3.0, 360.0, 2.460667423522575, 12.09484746400732, 8.15274132560809, 0.6619301851266358, 0.5833674052395799]"
f,N,"[0.2361111111111111, 0.015835769793043575, 0.21666666666666667, 0.25555555555555554, 4.0, 360.0, 2.192066661853125, 10.421596528521095, 8.221255353574952, 0.6919118321314343, 0.5198090225621254]"
f,N,"[0.3041666666666667, 0.018055555555555575, 0.2861111111111111, 0.32222222222222224, 2.0, 360.0000000000001, 1.4513390136447482, 6.155612330685983, 7.144283298189233, 0.6672901109136955, 0.33314825799877124]"
f,N,"[0.22592592592592595, 0.023166659265179284, 0.20555555555555555, 0.25833333333333336, 3.0, 360.0, 1.9934441421684164, 10.47757724807056, 8.339348650208152, 0.6485980559968382, 0.552190191246929]"
+,L,"[0.2425925925925926, 0.013671132463179081, 0.225, 0.25833333333333336, 3.0, 360.0, 0.6700538837880947, 1.776238419913736, 6.041218655127381, 0.7465123884597236, 0.6110294064008907]"
f,L,"[0.2712962962962963, 0.04929196908965247, 0.21666666666666667, 0.33611111111111114, 3.0, 359.99999999999994, 1.6229372706964071, 5.7922437058471825, 6.400198792174209, 0.6224913768495032, 0.29203520615541684]"
f,N,"[0.2625, 0.04305555555555557, 0.21944444444444444, 0.3055555555555556, 2.0, 360.00000000000006, 2.521679994357865, 14.967132394405766, 9.042680125961802, 0.6148328327540319, 0.43030766654519137]"
f,N,"[0.2638888888888889, 0.04653641434492245, 0.20555555555555555, 0.3194444444444444, 3.0, 360.00000000000006, 1.3006479578325931, 4.075700044733161, 6.228429385276176, 0.6877430625477811, 0.4394273049661904]"
f,N,"[0.2986111111111111, 0.018055555555555547, 0.28055555555555556, 0.31666666666666665, 2.0, 360.00000000000006, 2.689197606071551, 12.67819315096901, 7.533271796238887, 0.5937846129397855, 0.2790783916536342]"
f,/,"[0.225, 0.014163943093313288, 0.2111111111111111, 0.24444444444444444, 3.0, 359.99999999999994, 0.1558927030686494, 2.848145923847703, 7.359277140708203, 0.749537668626808, 0.5381058349134156]"
